day eternity:1600 replacement_initial_a:0.04 replacement_final_a:0 number_of_contact_events_per_day_a:5 pre_active_state_duration_1:2 pre_active_state_duration_2:2 active_state_duration_1:3 active_state_duration_2:3 transmission_probability_1_a:0.14 transmission_probability_2_a:0.25 days before configuration switch: 2000 number_of_contact_events_per_day_b:3 replacement_initial_b:0.04 replacement_final_b:0 transmission_probability_1_b:0.14 transmission_probability_2_b:0.15 transformation_period:1;
 day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2;
145;0.0179784;0.536227;0.0469561;0.0179784;0;0;0;0.0405862;0.0405862;0;
146;0.0178831;0.536895;0.046655;0.0178831;0;0;0;0.0405862;0.0405862;0;
147;0.0177945;0.537625;0.0463667;0.0177945;0;0;0;0.0405862;0.0405862;0;
148;0.017713;0.538407;0.0460925;0.017713;0;0;0;0.0405862;0.0405862;0;
149;0.0176386;0.539232;0.0458338;0.0176386;0;0;0;0.0405862;0.0405862;0;
150;0.0175715;0.540091;0.0455915;0.0175715;0;0;0;0.0405862;0.0405862;0;
151;0.0175117;0.540976;0.0453664;0.0175117;0;0;0;0.0405862;0.0405862;0;
152;0.0174593;0.541877;0.0451592;0.0174593;0;0;0;0.0405862;0.0405862;0;
153;0.017414;0.542788;0.0449702;0.017414;0;0;0;0.0405862;0.0405862;0;
154;0.0173759;0.543701;0.0447996;0.0173759;0;0;0;0.0405862;0.0405862;0;
155;0.0173447;0.544608;0.0446477;0.0173447;0;0;0;0.0405862;0.0405862;0;
156;0.0173204;0.545503;0.0445144;0.0173204;0;0;0;0.0405862;0.0405862;0;
157;0.0173026;0.546381;0.0443994;0.0173026;0;0;0;0.0405862;0.0405862;0;
158;0.0172911;0.547234;0.0443026;0.0172911;0;0;0;0.0405862;0.0405862;0;
159;0.0172857;0.548059;0.0442235;0.0172857;0;0;0;0.0405862;0.0405862;0;
160;0.017286;0.548851;0.0441617;0.017286;0;0;0;0.0405862;0.0405862;0;
161;0.0172918;0.549605;0.0441166;0.0172918;0;0;0;0.0405862;0.0405862;0;
162;0.0173026;0.550318;0.0440875;0.0173026;0;0;0;0.0405862;0.0405862;0;
163;0.0173181;0.550987;0.0440738;0.0173181;0;0;0;0.0405862;0.0405862;0;
164;0.0173381;0.55161;0.0440748;0.0173381;0;0;0;0.0405862;0.0405862;0;
165;0.017362;0.552183;0.0440895;0.017362;0;0;0;0.0405862;0.0405862;0;
166;0.0173896;0.552707;0.0441171;0.0173896;0;0;0;0.0405862;0.0405862;0;
167;0.0174203;0.553178;0.0441568;0.0174203;0;0;0;0.0405862;0.0405862;0;
168;0.0174539;0.553597;0.0442076;0.0174539;0;0;0;0.0405862;0.0405862;0;
169;0.01749;0.553963;0.0442685;0.01749;0;0;0;0.0405862;0.0405862;0;
170;0.0175282;0.554276;0.0443387;0.0175282;0;0;0;0.0405862;0.0405862;0;
171;0.017568;0.554537;0.044417;0.017568;0;0;0;0.0405862;0.0405862;0;
172;0.0176091;0.554747;0.0445026;0.0176091;0;0;0;0.0405862;0.0405862;0;
173;0.0176512;0.554906;0.0445944;0.0176512;0;0;0;0.0405862;0.0405862;0;
174;0.0176938;0.555016;0.0446914;0.0176938;0;0;0;0.0405862;0.0405862;0;
175;0.0177367;0.555078;0.0447927;0.0177367;0;0;0;0.0405862;0.0405862;0;
176;0.0177795;0.555096;0.0448973;0.0177795;0;0;0;0.0405862;0.0405862;0;
177;0.0178218;0.55507;0.0450043;0.0178218;0;0;0;0.0405862;0.0405862;0;
178;0.0178635;0.555004;0.0451128;0.0178635;0;0;0;0.0405862;0.0405862;0;
179;0.0179041;0.554899;0.0452218;0.0179041;0;0;0;0.0405862;0.0405862;0;
180;0.0179435;0.55476;0.0453306;0.0179435;0;0;0;0.0405862;0.0405862;0;
181;0.0179814;0.554588;0.0454383;0.0179814;0;0;0;0.0405862;0.0405862;0;
182;0.0180175;0.554387;0.0455441;0.0180175;0;0;0;0.0405862;0.0405862;0;
183;0.0180518;0.55416;0.0456474;0.0180518;0;0;0;0.0405862;0.0405862;0;
184;0.018084;0.55391;0.0457475;0.018084;0;0;0;0.0405862;0.0405862;0;
185;0.0181139;0.553639;0.0458438;0.0181139;0;0;0;0.0405862;0.0405862;0;
186;0.0181415;0.553352;0.0459357;0.0181415;0;0;0;0.0405862;0.0405862;0;
187;0.0181667;0.553051;0.0460228;0.0181667;0;0;0;0.0405862;0.0405862;0;
188;0.0181894;0.55274;0.0461045;0.0181894;0;0;0;0.0405862;0.0405862;0;
189;0.0182095;0.552421;0.0461806;0.0182095;0;0;0;0.0405862;0.0405862;0;
190;0.018227;0.552097;0.0462508;0.018227;0;0;0;0.0405862;0.0405862;0;
191;0.0182419;0.551771;0.0463147;0.0182419;0;0;0;0.0405862;0.0405862;0;
192;0.0182543;0.551446;0.0463723;0.0182543;0;0;0;0.0405862;0.0405862;0;
193;0.0182641;0.551124;0.0464233;0.0182641;0;0;0;0.0405862;0.0405862;0;
194;0.0182714;0.550808;0.0464678;0.0182714;0;0;0;0.0405862;0.0405862;0;
195;0.0182764;0.550499;0.0465057;0.0182764;0;0;0;0.0405862;0.0405862;0;
196;0.018279;0.5502;0.046537;0.018279;0;0;0;0.0405862;0.0405862;0;
197;0.0182794;0.549913;0.0465619;0.0182794;0;0;0;0.0405862;0.0405862;0;
198;0.0182777;0.549639;0.0465805;0.0182777;0;0;0;0.0405862;0.0405862;0;
199;0.0182741;0.549379;0.0465931;0.0182741;0;0;0;0.0405862;0.0405862;0;
200;0.0182687;0.549135;0.0465997;0.0182687;0;0;0;0.0405862;0.0405862;0;
201;0.0182615;0.548908;0.0466007;0.0182615;0;0;0;0.0405862;0.0405862;0;
202;0.0182529;0.548699;0.0465964;0.0182529;0;0;0;0.0405862;0.0405862;0;
203;0.0182428;0.548508;0.0465872;0.0182428;0;0;0;0.0405862;0.0405862;0;
204;0.0182315;0.548336;0.0465733;0.0182315;0;0;0;0.0405862;0.0405862;0;
205;0.0182192;0.548184;0.0465551;0.0182192;0;0;0;0.0405862;0.0405862;0;
206;0.018206;0.54805;0.046533;0.018206;0;0;0;0.0405862;0.0405862;0;
207;0.018192;0.547936;0.0465074;0.018192;0;0;0;0.0405862;0.0405862;0;
208;0.0181774;0.547842;0.0464788;0.0181774;0;0;0;0.0405862;0.0405862;0;
209;0.0181624;0.547765;0.0464474;0.0181624;0;0;0;0.0405862;0.0405862;0;
210;0.018147;0.547708;0.0464137;0.018147;0;0;0;0.0405862;0.0405862;0;
211;0.0181315;0.547668;0.0463781;0.0181315;0;0;0;0.0405862;0.0405862;0;
212;0.018116;0.547645;0.0463411;0.018116;0;0;0;0.0405862;0.0405862;0;
